"Enabled","Enabled"
"Title","Title"
"Environment","Environment"
"Debug","Debug"
"Api URL Staging","Api URL Staging"
"merchantKey Staging","merchantKey Staging"
"Api URL Production","Api URL Production"
"merchantKey Production","merchantKey Production"
"Payment Action","Payment Action"
"Payment Methods","Payment Methods"
"Return message AuthOnly","Return message AuthOnly"
"Return message AuthAndCaptureWithDelay","Return message AuthAndCaptureWithDelay"
"Credit Card Issuers","Credit Card Issuers"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"AuthOnly","AuthOnly"
"AuthAndCapture","AuthAndCapture"
"AuthAndCaptureWithDelay","AuthAndCaptureWithDelay"
"Credit Card","Credit Card"
"1 Credit Card","1 Credit Card"
"2 Credit Cards","2 Credit Cards"
"3 Credit Cards","3 Credit Cards"
"4 Credit Cards","4 Credit Cards"
"5 Credit Cards","5 Credit Cards"
"mundipagg_creditcard","Credit Card"
"mundipagg_twocreditcards","2 Credit Cards"
"mundipagg_threecreditcards","3 Credit Cards"
"mundipagg_fourcreditcards","4 Credit Cards"
"mundipagg_fivecreditcards","5 Credit Cards"
"mundipagg_boleto","Boleto Bancário"
"mundipagg_debit","Débito"
"Boleto Bancário","Boleto Bancário"
"CreditCard","Credit Card"
"BoletoBancario","Boleto Bancário"
"Visa","Visa"
"Mastercard","Mastercard"
"American Express","American Express"
"Diners","Diners"
"Select a payment method from backoffice","Select a payment method from backoffice"
"A vista","A vista"
"Total:","Total:"
"Select a Credit Card or add a new one","Select a Credit Card or add a new one"
"New Credit Card","New Credit Card"
"Credit Card Holder name","Credit Card Holder name"
"Credit Card Number","Credit Card Number"
"Expiration date","Expiration date"
"The payment finishes after the credit card expiration date","The payment finishes after the credit card expiration date"
"Day","Day"
"Week", "Week"
"Month","Month"
"Quarter", "quarter"
"Semester", "semester"
"Year", "ano"
"January","January"
"February","February"
"March","March"
"April","April"
"May","May"
"June","June"
"July","July"
"August","August"
"September","September"
"October","October"
"November","November"
"December","December"
"Year","Year"
"Card Verification Number","Card Verification Number"
"What is this?","What is this?"
"Credit options","Credit options"
"Total","Total"
"Boleto Bancârio","Boleto Bancârio"
"Save Card On File","Save Card On File"
"Card already exists on file.","Card already exists on file."
"CreditCard","CreditCard"
"1CreditCards","Pay with 1 Credit Card"
"2CreditCards","Pay with 2 Credit Cards"
"3CreditCards","Pay with 3 Credit Cards"
"4CreditCards","Pay with 4 Credit Cards"
"5CreditCards","Pay with 5 Credit Cards"
"Pay with 1 Credit Card","Pay with 1 Credit Card"
"Pay with 2 Credit Cards","Pay with 2 Credit Cards"
"Pay with 3 Credit Cards","Pay with 3 Credit Cards"
"Pay with 4 Credit Cards","Pay with 4 Credit Cards"
"Pay with 5 Credit Cards","Pay with 5 Credit Cards"
"Denied","Denied"
"Holder instituition error","Holder instituition error"
"Parameters sent error","Parameters sent error"
"Credentials error","Credentials error"
"Internal Error","Internal Error"
"for","for"
"Payment error","Payment Error"
"Method","Method"
"Payment Method","Payment Method"
"OrderKey","Order Key"
"Credit Card Issuer","Credit Card Issuer"
"Transaction Status","Transaction Status"
"AuthorizedPendingCapture","AuthorizedPendingCapture"
"NotAuthorized","NotAuthorized"
"ChargebackPreview","ChargebackPreview"
"RefundPreview","RefundPreview"
"DepositPreview","DepositPreview"
"Captured","Captured"
