"Enabled","Ativar"
"Title","Título"
"Environment","Ambiente"
"Debug","Debug"
"Api URL Staging","Api URL Staging"
"merchantKey Staging","merchantKey Staging"
"Api URL Production","Api URL Produção"
"merchantKey Production","merchantKey Produção"
"Payment Action","Tipo de operação"
"Payment Methods","Métodos de pagamento"
"Return message AuthOnly","Mensagem de retorno de AuthOnly"
"Return message AuthAndCaptureWithDelay","Mensagem de retorno de AuthAndCaptureWithDelay"
"Credit Card Issuers","Bandeiras"
"Payment from Applicable Countries","Pagamento autorizado para os paises"
"Payment from Specific Countries","Pagamento específico dos paises"
"AuthOnly","AuthOnly"
"AuthAndCapture","AuthAndCapture"
"AuthAndCaptureWithDelay","AuthAndCaptureWithDelay"
"Credit Card","Cartão de Crédito"
"1 Credit Card","Cartão de Crédito"
"2 Credit Cards","2 Cartões de Crédito"
"5 Credit Cards","5 Cartões de Crédito"
"Pay with 1 Credit Card","Pagar com 1 Cartão de Crédito"
"Pay with 2 Credit Cards","Pagar com 2 Cartões de Crédito"
"Pay with 5 Credit Cards","Pagar com 5 Cartões de Crédito"
"Boleto Bancário","Boleto Bancário"
"CreditCard","Cartão de Crédito"
"BoletoBancario","Boleto Bancário"
"Visa","Visa"
"Mastercard","Mastercard"
"American Express","American Express"
"Diners","Diners"
"Select a payment method from backoffice","Selecione uma forma de pagamento no backoffice"
"A vista","A vista"
"Total:","Total:"
"Select a Credit Card or add a new one","Selecione um Cartão de Crédito ou adicione um novo"
"New Credit Card","Novo Cartão de Crédito"
"Credit Card Holder name","Nome completo no Cartão de Crédito"
"Credit Card Number","Número do Cartão de Crédito"
"Expiration date","Data de expiração do Cartão de Crédito"
"Day","Dia"
"Week", "Semana"
"Month","Mês"
"Quarter", "trimestre"
"Semester", "semestre"
"Year", "ano"
"January","Janeiro"
"February","Fevereiro"
"March","Março"
"April","Abril"
"May","Maio"
"June","Junho"
"July","Julho"
"August","Agosto"
"September","Setembro"
"October","Outubro"
"November","Novembro"
"December","Dezembro"
"Year","Ano"
"Card Verification Number","Código de segurança"
"What is this?","O que é?"
"Credit options","Parcelar em"
"Total","Total"
"Boleto Bancârio","Boleto Bancário"
"Save Card On File","Usar este Cartão para futuras compras"
"Card already exists on file.","Esse Cartão de Crédito já existe no arquivo."
"CreditCard","Cartão de Crédito"
"1CreditCardsOneInstallment","Cartão de Crédito a vista"
"1CreditCards","Cartão de Crédito"
"2CreditCards","2 Cartões de Crédito"
"5CreditCards","5 Cartões de Crédito"
"mundipagg_creditcardoneinstallment","Cartão de Crédito a vista"
"mundipagg_creditcard","Cartão de Crédito"
"mundipagg_twocreditcards","2 Cartões de Crédito"
"mundipagg_fivecreditcards","5 Cartões de Crédito"
"mundipagg_boleto","Boleto Bancário"
"mundipagg_debit","Débito"
"Denied","Negado"
"Holder instituition error","Erro instituição titular"
"Parameters sent error","Dados enviados errados"
"Credentials error","Senha errada"
"Internal Error","Erro interno"
"for","para"
"Payment error","A transação não foi aprovada."
"Payment ok","A transação foi aprovada."
"Method","Método"
"Payment Method","Método de pagamento"
"OrderKey","Chave do pedido"
"OrderKeys","Chaves do pedido"
"Credit Card Issuer","Bandeira"
"Credit card issuer","Bandeira"
"Transaction Status","Status da transação"
"AuthorizedPendingCapture","AuthorizedPendingCapture"
"NotAuthorized","NotAuthorized"
"ChargebackPreview","ChargebackPreview"
"RefundPreview","RefundPreview"
"DepositPreview","DepositPreview"
"Captured","Capturado"
"PartialCapture","Capturado partialmente"
"Refunded","Reembolsado"
"Voided","Estornado"
"Deposited","Depositado"
"OpenedPendindAuth","Aberto pendente de autorização"
"Chargedback","Charged back"
"WithError","Com erro"
"Invalid","Inválido"
"PendingVoid","Aguardando estorno"
"PartialAuthorize","Autorizado parcialmente"
"PartialRefund","Reembolsado parcialmente"
"Order status is: Opened","Status do pedido: Aberto"
"Order status is: Closed","Status do pedido: Fechado"
"Order status is: Paid","Status do pedido: Pago"
"Order status is: Overpaid","Status do pedido: Pago a mais"
"Order status is: Canceled","Status do pedido: Cancelado"
"Order status is: PartialPaid","Status do pedido: Pago parcialmente"
"No OrderKey found.","Chave do pedido não encontrada."
"Waiting for Boleto Bancário payment","Aguardando pagamento do Boleto Bancário"
"InstallmentCount","Parcela"
"InstallmentsCount","Parcelas"
"Installments","Parcelas"
"Print your boleto after you have placed your order.","Imprima o boleto bancário após a finalização do pedido."
"<a href=""%s"" target=""_blank"">Click here to print</a> a copy of your order confirmation.","<a href=""%s"" target=""_blank"">Clique aqui para imprimir</a> a confirmação do pedido."
"Your order has not been paid yet. <a href=""%s"" target=""_blank"">Click here to print</a> your Boleto Bancário.","<a href=""%s"" target=""_blank"">Clique aqui para imprimir</a> seu Boleto Bancário."
"Your order has not been paid yet. <a href=""%s"" target=""_blank"">Click here to pay in</a> your bank.","<a href=""%s"" target=""_blank"">Clique aqui para pagar</a> no seu banco."
"Print boleto","Imprimir boleto"
"Print boleto nº","Imprimir boleto nº"
"Payment boleto nº","Payment date boleto nº"
"Value (Ex: 100,50)","Valor a passar neste Cartão (Ex: 100,50)"
"Installments does not match with quote.","Soma dos valores por Cartão não coincidem."
"Order partially authorized","Pedido parcialmente autorizado"
"Order total:","Valor total do pedido:"
"Amount authorized:","Total autorizado:"
"One of your payment methods is invalid","Um dos seus métodos de pagamento não foi autorizado."
